"Alter","Geschlecht","Beruf","Bruttoeinkommen","Vermoegen","Kredithoehe","Kreditausfall"
53,"Frau","Angestellter",61566.78,117227.132057721,15714.56,0
35,"Frau","Angestellter",67239.29,218366.480504529,33899.4,0
32,"Mann","Angestellter",62868.56,123210.641891434,28997,0
61,"Frau","Angestellter",48903.71,120813.979525482,28213.43,1
28,"Mann","Angestellter",77061.65,135710.550013449,131.25,0
32,"Frau","Angestellter",70387.67,143200.843961379,2070.04,0
53,"Frau","Angestellter",93268.64,166692.028578093,28860.2,0
31,"Frau","Angestellter",153790.03,221449.12192993,8667.39,0
60,"Frau","Angestellter",64686.74,95120.6190910047,38337.9,1
71,"Mann","Rentner",15599.02,92867.52945157,23811.69,1
43,"Mann","Selbstständiger",28820.95,110012.963105583,23811.94,1
37,"Mann","Angestellter",20110.32,104088.142839664,23807.35,1
55,"Mann","Angestellter",100436.11,232654.874855186,36997.02,0
32,"Mann","Beamter",78504.05,132845.023254229,8747.75,1
57,"Mann","Selbstständiger",89281.06,169410.331601136,50724.02,1
43,"Mann","Angestellter",41801.03,158463.554562411,24445.75,0
43,"Frau","Angestellter",24629.36,68957.3735092397,23811.28,1
31,"Frau","Angestellter",46228.67,211135.741082016,25096.4,0
40,"Frau","Angestellter",44207.54,207755.887607019,18265.53,0
64,"Mann","Angestellter",82759.77,133809.312550633,40033.55,1
20,"Frau","Angestellter",32064.11,28134.4141534995,23811.64,1
67,"Frau","Rentner",30235.69,47583.5658030246,23811.3,1
28,"Mann","Angestellter",62752.23,145453.97071282,23982.97,0
70,"Frau","Rentner",11815.03,62088.2562141106,23809.43,1
46,"Mann","Angestellter",45791.88,117256.209673126,23660.27,1
51,"Frau","Angestellter",51618.08,139685.195082631,27146.62,1
40,"Mann","Angestellter",107402.52,220191.151026848,6262.29,0
70,"Mann","Rentner_Pension",30713.67,60302.4545061019,23810.76,0
57,"Mann","Selbstständiger",40370.97,73117.7557985982,24147.65,1
54,"Frau","Angestellter",64528.05,130230.35998599,32295.58,0
43,"Frau","Angestellter",61063.4,264192.780934488,29348.52,0
39,"Mann","Angestellter",38958.18,225962.13939731,23808.49,0
60,"Mann","Angestellter",84358.07,98962.5867078804,6554.05,0
57,"Mann","Angestellter",73168.33,125542.818349141,21515.19,1
41,"Frau","Angestellter",171043.04,412456.233690059,95089.49,0
34,"Frau","Angestellter",96078.85,138389.398970823,2764.14,0
27,"Mann","Angestellter",59912.64,53356.0846475777,23073.71,0
66,"Frau","Rentner",11677.09,50449.270461816,23807.51,1
71,"Mann","Rentner",11172.14,45288.026930197,23811.49,1
67,"Frau","Rentner",17413.27,64550.8216770992,23811.46,1
50,"Frau","Angestellter",32937.3,91742.5457667984,23810.04,1
73,"Frau","Rentner",14238.64,93751.3516183156,23811.66,1
25,"Mann","Angestellter",30844.4,95921.0978435486,23811.74,0
58,"Frau","Angestellter",124505.26,231690.201085138,283.79,0
64,"Mann","Beamter",78789.22,122770.082862189,17844.84,0
22,"Mann","Angestellter",105355.77,105837.70312746,740.48,0
55,"Mann","Angestellter",49989.99,93399.1749926422,29308.64,1
28,"Mann","Angestellter",36877.63,66210.8097372405,23810.79,1
53,"Mann","Angestellter",84194.73,172754.910459474,17725.6,0
27,"Mann","Angestellter",39345.64,91523.9792160707,23811.56,1
46,"Mann","Angestellter",67752.96,159860.063613464,35700.73,1
38,"Mann","Selbstständiger",68567,218240.464857618,22624.54,1
64,"Mann","Angestellter",52451.85,66065.6594844234,28708.98,1
46,"Frau","Angestellter",71529.03,269062.66929508,30051.26,0
23,"Mann","Angestellter",64739.26,205521.562408204,37351,0
36,"Mann","Angestellter",96456.6,228951.349370979,53837.41,0
43,"Frau","Angestellter",46286.54,137516.144493447,25261.74,1
44,"Mann","Angestellter",38436.15,112492.756446812,23811.49,1
64,"Mann","Angestellter",48929.44,55054.7805080533,25414.15,0
26,"Frau","Angestellter",84371.43,68327.2361433659,11202.32,0
52,"Frau","Angestellter",90272.52,158387.931905818,199.79,0
38,"Frau","Angestellter",51190.41,182321.09093231,25893,0
35,"Frau","Angestellter",28388.89,177078.387511645,23799.14,0
47,"Mann","Angestellter",146378.21,302853.120867676,38175.02,0
72,"Frau","Rentner",8543.51,45722.3204911845,23810.95,1
33,"Mann","Angestellter",51480.85,100621.907593249,789.33,0
47,"Frau","Selbstständiger",40284.01,120700.590561411,24165.41,1
26,"Frau","Angestellter",33348.89,102698.967359887,23811.56,1
47,"Mann","Angestellter",60208.67,160132.091616915,26068.58,0
56,"Frau","Angestellter",73106.63,161075.892877294,23843.31,0
68,"Frau","Rentner",21741.16,29611.8026410809,23811.54,1
50,"Frau","Angestellter",119246.4,407979.983004696,36574.95,0
45,"Mann","Angestellter",128820.18,266552.98567367,74650.54,0
53,"Mann","Selbstständiger",42869.81,274517.541649351,25046.55,1
43,"Frau","Angestellter",67970.37,146958.552432402,38025.68,0
58,"Frau","Angestellter",64371.12,130121.44563013,21199.41,0
63,"Mann","Angestellter",101976.54,151864.354420545,9550.68,0
63,"Mann","Angestellter",53701.98,95218.502460126,12403.52,0
28,"Frau","Angestellter",31751.98,89012.6905570388,23811.93,1
69,"Frau","Rentner",14074.34,24343.7768376443,23811.54,1
42,"Frau","Angestellter",63094.08,228573.254185987,28141.38,0
46,"Frau","Angestellter",93297.14,210864.390965289,18489.24,0
29,"Mann","Angestellter",46718.88,110842.718144726,27995.87,1
53,"Frau","Angestellter",157101.93,213042.954324781,986.77,0
30,"Frau","Angestellter",215554.7,371706.803590883,100.59,0
74,"Frau","Rentner",11428.51,89484.5114281146,23811.67,1
51,"Mann","Selbstständiger",68812.72,133621.785348453,21828.53,1
53,"Mann","Selbstständiger",87575.97,174776.149121818,513.69,1
24,"Mann","Angestellter",59489.08,148998.704691983,33922.48,0
57,"Frau","Angestellter",119058.44,176007.176602321,106.74,0
52,"Mann","Angestellter",32361.04,185643.229760349,23811.79,1
35,"Frau","Angestellter",42130.12,164943.562401043,21765.22,0
37,"Mann","Angestellter",114304.89,166829.831058396,1077.78,0
48,"Mann","Angestellter",93561.18,249931.878215324,34395.38,0
29,"Mann","Angestellter",34183.18,60363.0635527369,23811.47,1
66,"Mann","Rentner",14576.13,55047.2985196144,23811.93,1
37,"Mann","Angestellter",44476.95,188670.542864561,26679.23,1
34,"Mann","Angestellter",28222.12,101648.489534231,23809.03,1
68,"Frau","Rentner",13197.09,79373.3424736517,23811.94,1
27,"Frau","Angestellter",80904.58,77043.8705011276,42094.97,0
36,"Frau","Angestellter",53777.9,137237.620460209,27042.7,0
33,"Frau","Angestellter",81427.09,192354.810180277,25953.59,0
66,"Frau","Rentner",11290.66,45548.2118926289,23811.4,1
45,"Frau","Selbstständiger",99636.75,248193.898512452,17266.28,0
55,"Mann","Selbstständiger",36887.27,119908.420942044,23811.44,1
58,"Mann","Angestellter",55763.49,170754.403864008,24474.34,0
59,"Mann","Selbstständiger",23366.2,233816.537731729,23811.81,1
47,"Mann","Beamter",87082.03,270798.628576552,605.79,0
45,"Frau","Angestellter",90265.5,226390.949306589,52641.06,0
63,"Mann","Angestellter",62965.15,92160.5867514213,17476.91,0
49,"Frau","Angestellter",64293.04,177311.240039282,38066.99,0
39,"Mann","Angestellter",33257.76,112509.620862672,23810.58,0
31,"Mann","Angestellter",23804.03,58411.9619271111,23809.13,1
43,"Mann","Angestellter",25836.91,226057.56998416,23811.56,0
37,"Mann","Selbstständiger",46697.7,154471.154825574,26643.31,1
64,"Frau","Angestellter",163740.81,196337.797868362,97132.6,0
52,"Frau","Angestellter",137914.02,210186.283283237,8632.31,0
58,"Mann","Selbstständiger",116412.49,254504.556428707,2286.4,0
59,"Frau","Angestellter",40243.73,138607.816415959,24065.31,1
43,"Frau","Angestellter",55151.37,151184.356770447,15155.6,0
27,"Mann","Angestellter",120064.68,187534.614527028,33460.06,0
65,"Frau","Rentner",17915.43,56134.4631992411,23811.15,1
21,"Mann","Angestellter",34742.69,73671.5555436141,23811.89,1
69,"Mann","Rentner",10305.47,63585.8461652329,23811.91,1
36,"Mann","Angestellter",86827.19,148081.655643866,19518.63,0
73,"Frau","Rentner",9875.38,34346.3553845748,23811.28,1
56,"Mann","Angestellter",33778.31,78523.4202402811,23811.74,1
25,"Mann","Angestellter",68186.04,154750.532206877,27656.57,0
63,"Mann","Angestellter",127894.37,121396.994358815,103.85,0
56,"Frau","Beamter",77075.86,136208.778722869,6337.23,0
44,"Frau","Beamter",65160.01,178032.406547326,14749.38,0
57,"Mann","Angestellter",58462.85,132053.477224659,32663.79,0
57,"Mann","Angestellter",63503.24,136817.718512021,37735.5,0
47,"Frau","Angestellter",47759.15,83181.0315729832,27899.29,1
50,"Mann","Angestellter",67511.97,117628.832239498,32388.64,0
27,"Mann","Angestellter",108566.46,128499.740934958,54658.97,0
52,"Mann","Angestellter",36986.96,93444.7287104813,23811.92,1
31,"Mann","Angestellter",123721.26,187150.929384848,316.97,0
62,"Frau","Angestellter",89681.81,170280.076714104,14339.02,0
37,"Mann","Angestellter",36628.51,106314.3123633,23811.22,1
29,"Mann","Angestellter",111168,188542.826079844,226.42,0
48,"Frau","Selbstständiger",146166.47,293895.599722459,2984.6,0
71,"Mann","Rentner",15680.56,39364.6125424784,23811.94,1
26,"Frau","Angestellter",24625.83,83435.1366471221,23811.39,1
58,"Mann","Angestellter",101281.09,182437.804794762,1521.17,0
30,"Frau","Angestellter",45248.77,138611.233946035,25338.76,1
69,"Mann","Rentner",30979.83,53282.4744019476,23811.94,1
61,"Frau","Selbstständiger",60188.32,71179.317789362,34298.42,1
36,"Mann","Angestellter",145068.91,365076.545887859,65474.59,0
73,"Mann","Angestellter",137898.4,251276.354278954,56090.72,0
47,"Mann","Selbstständiger",92854.42,186329.010201681,47721.52,0
31,"Mann","Angestellter",173601.62,272092.381019953,16932.91,0
44,"Mann","Angestellter",48190.14,160375.957369225,22483.52,1
69,"Mann","Selbstständiger",50783.16,87977.7626103864,30000.03,1
41,"Mann","Angestellter",150922.41,284077.681305386,14689.45,0
55,"Mann","Angestellter",60790.35,172613.558910443,36348.4,0
69,"Mann","Rentner",43543.11,77601.9772364703,22641.8,1
36,"Mann","Angestellter",162187.7,258940.001695543,89707,0
30,"Mann","Angestellter",141493.56,228653.197112982,10998.66,0
27,"Mann","Angestellter",37848.08,104707.73994278,23811.81,1
40,"Frau","Angestellter",42191.96,90986.2493402722,25283.31,1
60,"Frau","Angestellter",25238.7,154387.209787222,23811.19,1
55,"Frau","Angestellter",76438.09,137332.767015613,44687.95,1
36,"Frau","Angestellter",71204.92,391210.430480654,33717.39,0
59,"Frau","Angestellter",38318.69,77108.698937269,23811.9,1
20,"Mann","Angestellter",49552.47,95811.4864679966,28433.26,1
55,"Frau","Angestellter",112505.34,171157.415292507,1276.4,0
56,"Frau","Angestellter",68856.51,97736.826195407,40137.32,0
39,"Mann","Angestellter",58128.22,213821.69883671,29552.27,0
53,"Mann","Selbstständiger",20032.54,128532.321704989,23809.27,1
56,"Mann","Angestellter",169997.9,332785.200171759,81380.3,0
32,"Frau","Angestellter",25133.69,154631.55554003,23811.52,1
21,"Mann","Angestellter",64439.85,107671.370547677,25183.49,0
28,"Mann","Angestellter",27671.67,100976.599000274,23806.73,0
33,"Mann","Angestellter",108230.73,144045.766412989,27728.81,0
58,"Frau","Angestellter",56831.22,99348.0650007597,23512.87,1
33,"Mann","Angestellter",30115.83,158106.92949144,23810.71,1
25,"Mann","Angestellter",26801.29,141055.39915901,23811.69,0
43,"Frau","Angestellter",130324.03,324002.545383297,13894.67,0
58,"Frau","Angestellter",46044.56,126038.903880006,15051.59,0
79,"Frau","Rentner",16146.04,39384.8756893584,23807.55,1
50,"Mann","Angestellter",94145.43,218787.411453955,49366.69,0
71,"Mann","Rentner",31372.18,74273.2347426918,23811.75,1
48,"Mann","Angestellter",94266.62,205088.995565715,1378.68,0
64,"Frau","Angestellter",48764.72,72996.950749232,9167.64,0
28,"Frau","Angestellter",136054.28,270232.94922026,25958.31,0
42,"Frau","Angestellter",119082.17,271168.956531807,2297.03,0
33,"Mann","Angestellter",42037.06,131101.590781421,24507.93,1
67,"Frau","Rentner",8441.87,106933.823724607,23810.98,1
49,"Mann","Angestellter",26374.79,114201.043684928,23811.93,0
49,"Mann","Angestellter",60917.17,170468.696897426,16926.84,0
51,"Mann","Angestellter",57137.76,127450.301530873,25443.76,0
53,"Mann","Angestellter",20546.07,81312.085085792,23809.97,1
26,"Mann","Angestellter",26008.43,52114.015698953,23811.42,1
69,"Mann","Rentner",10588.12,30238.8106823232,23811.33,1
51,"Frau","Angestellter",32188.08,88812.8237176552,23811.19,1
61,"Mann","Angestellter",54437.23,79154.7136938747,29136.83,1
70,"Frau","Rentner",26959.69,129782.774509643,23811.9,1
45,"Mann","Selbstständiger",30783.7,113909.694400933,23811.27,1
50,"Mann","Angestellter",37697.6,240796.319944137,23811.85,0
69,"Frau","Rentner",10946.52,56256.5426537261,23811.1,1
51,"Mann","Angestellter",78982.93,152871.934788875,9287.66,0
52,"Mann","Angestellter",169880.68,301971.414972082,2589.85,0
63,"Mann","Angestellter",44854.79,96271.1899070099,26490.22,1
59,"Mann","Beamter",100575.23,117594.143307655,53708.7,0
46,"Mann","Angestellter",46305.68,126301.384672582,27490.23,0
63,"Frau","Angestellter",137121.31,201452.926295719,71737.46,0
63,"Mann","Angestellter",77080.46,133495.55160891,6889,0
32,"Mann","Beamter",80608.11,147263.994558444,42479.78,0
47,"Mann","Angestellter",56074.95,211897.783476545,32905.72,0
57,"Frau","Angestellter",39597.79,99685.7205459283,23809.36,1
32,"Frau","Angestellter",39238.8,115695.397329195,23811.89,0
53,"Mann","Angestellter",121371.45,186931.085101626,11132.78,0
44,"Mann","Beamter",62026.16,203945.661335593,30000.98,0
65,"Mann","Rentner",15471.24,87134.0569999405,23811.07,1
60,"Frau","Angestellter",70956.48,104295.80440998,9898.92,0
51,"Frau","Selbstständiger",64880.51,140742.749387837,16884.43,1
72,"Frau","Rentner",46628.79,64747.9932552001,27886.15,1
38,"Frau","Beamter",78044.85,332581.717409205,39853.6,0
65,"Mann","Rentner",10918.77,43818.1265098577,23811.21,1
51,"Frau","Angestellter",40810.22,129362.078781614,23218.18,1
52,"Frau","Angestellter",37756.17,126326.860495467,23811.79,1
48,"Mann","Angestellter",22381.09,161352.010366925,23811.31,0
59,"Mann","Angestellter",63879.84,79772.0278165775,38247.24,1
58,"Mann","Angestellter",129812.2,237678.289520288,13405.98,0
34,"Frau","Angestellter",50847.21,250935.014295545,29672.97,1
54,"Mann","Angestellter",126395.35,236389.120253783,43705.78,0
57,"Frau","Angestellter",60100.29,137217.612271542,26149.23,0
68,"Mann","Rentner_Pension",43781.58,89250.2058611653,26091.98,1
63,"Mann","Selbstständiger",38620.62,134288.120405238,23807.27,1
54,"Mann","Selbstständiger",50829.14,102695.87110788,14123.14,1
27,"Mann","Angestellter",66392.35,144973.294702494,8091.88,0
58,"Frau","Angestellter",71259.89,140900.085639708,30913.92,1
30,"Mann","Angestellter",59412.98,65001.7118307183,18538.34,1
57,"Frau","Beamter",116776.57,218755.906244475,57107.81,0
33,"Mann","Selbstständiger",53772.14,99684.8084960059,32259.21,0
26,"Mann","Angestellter",109492.5,132208.667262241,20555.32,0
48,"Frau","Angestellter",84617.15,228109.517132037,4778.53,0
78,"Frau","Rentner",31337.36,93122.3030482791,23811.93,1
55,"Mann","Angestellter",128958.9,220859.234531043,1554.25,0
36,"Mann","Angestellter",58470.52,143363.350287722,35060.86,1
32,"Frau","Angestellter",27381.5,72525.6395483298,23811.05,1
32,"Frau","Angestellter",81622.85,180031.107074407,225.9,0
59,"Frau","Angestellter",63712.21,106493.260514453,37837.72,1
40,"Frau","Angestellter",33317.54,94672.1167039174,23805.55,1
53,"Mann","Selbstständiger",109039.61,254866.381105634,13022.04,0
58,"Mann","Angestellter",38730.74,82770.1419789374,23810.83,0
55,"Frau","Angestellter",26361.51,71833.9320714961,23810.7,1
28,"Frau","Beamter",141418.23,135271.510592433,4276.85,0
70,"Frau","Angestellter",61230.99,74802.0695386635,36721.31,1
59,"Frau","Angestellter",84791.59,152204.665208601,15768.62,0
46,"Frau","Angestellter",26414.04,136961.104156088,23810.83,1
67,"Mann","Rentner",22037.13,80989.6743742259,23811.54,1
40,"Mann","Angestellter",88501.6,243486.059485456,3351.56,0
27,"Mann","Angestellter",26819.79,47877.5135789558,23810.36,1
37,"Frau","Angestellter",137372.51,284179.86097115,817.54,0
44,"Mann","Angestellter",102549.04,258481.003651082,35848.58,0
43,"Mann","Angestellter",55024.19,272620.149764737,19165.2,0
60,"Mann","Angestellter",104970.03,296611.737154789,17545.57,0
33,"Frau","Angestellter",92555.3,153494.598792442,131.6,0
51,"Mann","Selbstständiger",28425.97,116811.89220479,23811.56,1
49,"Mann","Angestellter",56123.66,172876.825284817,20510.22,0
53,"Frau","Angestellter",86951.48,229106.361098446,128.23,0
52,"Mann","Angestellter",70541.81,197191.336194739,22312.19,0
61,"Frau","Angestellter",60892.85,99199.7639922867,36431.66,1
44,"Mann","Angestellter",30579.59,111149.175580772,23811.91,1
46,"Frau","Angestellter",81166.13,228036.527084647,23157.62,0
69,"Frau","Rentner",6468.52,21750.6063953745,23811.91,1
48,"Mann","Angestellter",81914.62,205290.371017339,352.75,0
52,"Mann","Angestellter",66331.29,161951.402259337,23402.27,0
59,"Frau","Angestellter",47892.37,128233.065356128,26397.35,1
68,"Mann","Rentner",26719.41,56105.2750892624,23808.48,1
72,"Mann","Selbstständiger",18069.92,43668.3568702637,23808.57,1
41,"Frau","Angestellter",113985.34,199511.574074714,41415.06,0
43,"Mann","Angestellter",50439.57,163391.742917982,26726.76,1
29,"Mann","Angestellter",103408.95,90029.027113824,12785.33,0
38,"Frau","Angestellter",37373.9,110440.791868781,23810.57,0
48,"Mann","Angestellter",33721.37,142633.663488006,23811.91,1
